Timing Model

JD present (7/7/2016) to T0
EOH
2457016
2457026
2457036
2457046
2457056
2457066
2457076
2457086
2457096
2457106
2457116
2457126
2457136
2457146
2457156
2457166
2457176
2457186
2457196
2457206
2457216
2457226
2457236
2457246
2457256
2457266
2457276
2457286
2457296
2457306
2457316
2457326
2457336
2457346
2457356
2457366
2457376
2457386
2457396
2457406
2457416
2457426
2457436
2457446
2457456
2457466
2457476
2457486
2457496
2457506
2457516
2457526
2457536
2457546
2457556
2457566
2457576
2457586
2457596
2457606
2457616
2457626
2457636
2457646
2457656
2457666
2457676
2457686
2457696
2457706
2457716
2457726
2457736
2457746
2457756
2457766
2457776
2457786
2457796
2457806
2457816
2457826
2457836
2457846
2457856
2457866
2457876
2457886
2457896
2457906
2457916
2457926
2457936
2457946
2457956
2457966
2457976
2457986
2457996
2458006
2458016
2458026
2458036
2458046
2458056
2458066
2458076
2458086
2458096
2458106
2458116
2458126
2458136
2458146
2458156
2458166
2458176
2458186
2458196
2458206
2458216
2458226
2458236
2458246
2458256
2458266
2458276
2458286
2458296
2458306
2458316
2458326
2458336
2458346
2458356
2458366
2458376
2458386
2458396
2458406
2458416
2458426
2458436
2458446
2458456
2458466
2458476
2458486
2458496
2458506
2458516
2458526
2458536
2458546
2458556
2458566
2458576
2458586
2458596
2458606
2458616
2458626
2458636
2458646
2458656
2458666
2458676
2458686
2458696
2458706
2458716
2458726
2458736
2458746
2458756
2458766
2458776
2458786
2458796
2458806
2458816
2458826
2458836
2458846
2458856
2458866
2458876
2458886
2458896
2458906
2458916
2458926
2458936
2458946
2458956
2458966
2458976
2458986
2458996
2459006
2459016
2459026
2459036
2459046
2459056
2459066
2459076
2459086
2459096
2459097
2459098
2459099
2459100
2459101
2459102
2459103
2459104
2459105
2459106
2459107
2459108
2459109
2459110
2459111
2459112
2459113
2459114
2459115
2459116
2459117
2459118
2459119
2459120
2459121
2459122
2459123
2459124
2459125
2459126
2459127
2459128
2459129
2459130
2459131
2459132
2459133
2459134
2459135
2459136
2459137
2459138
2459139
2459140
2459141
2459142
2459143
2459144
2459145
