OrbitalPhasePackage
KIC 9832227
Exponential
T1,T0,Period (d),tau (d),P_ref (d)
2455688.499130,2459663.0,0.457961510,0.113541000,0.457951500
BJD,cycles,Phase
EOH
2458515.99854,6174.40648,0.4065
2458525.99857,6196.24462,0.2446
2458535.99868,6218.08293,0.0829
2458545.99884,6239.92140,0.9214
2458555.99907,6261.76002,0.7600
2458565.99934,6283.59877,0.5988
2458575.99966,6305.43763,0.4376
2458586.00001,6327.27659,0.2766
2458596.00039,6349.11561,0.1156
2458606.00077,6370.95468,0.9547
2458616.00116,6392.79378,0.7938
2458626.00153,6414.63287,0.6329
2458636.00188,6436.47194,0.4719
2458646.00221,6458.31097,0.3110
2458656.00249,6480.14992,0.1499
2458666.00272,6501.98880,0.9888
2458676.00290,6523.82759,0.8276
2458686.00302,6545.66627,0.6663
2458696.00307,6567.50484,0.5048
2458706.00306,6589.34329,0.3433
2458716.00299,6611.18163,0.1816
2458726.00285,6633.01985,0.0199
2458736.00265,6654.85798,0.8580
2458746.00240,6676.69602,0.6960
2458756.00210,6698.53398,0.5340
2458766.00176,6720.37189,0.3719
2458776.00140,6742.20976,0.2098
2458786.00101,6764.04762,0.0476
2458796.00062,6785.88551,0.8855
2458806.00023,6807.72343,0.7234
2458815.99986,6829.56142,0.5614
2458825.99951,6851.39951,0.3995
2458835.99921,6873.23773,0.2377
2458845.99895,6895.07608,0.0761
2458855.99875,6916.91459,0.9146
2458865.99862,6938.75328,0.7533
2458875.99854,6960.59215,0.5922
2458885.99854,6982.43121,0.4312
2458895.99861,7004.27047,0.2705
2458905.99874,7026.10991,0.1099
2458915.99894,7047.94953,0.9495
2458925.99919,7069.78931,0.7893
2458935.99949,7091.62925,0.6292
2458945.99982,7113.46931,0.4693
2458956.00018,7135.30948,0.3095
2458966.00057,7157.14974,0.1497
2458976.00095,7178.99007,0.9901
2458986.00133,7200.83043,0.8304
2458996.00170,7222.67081,0.6708
2459006.00204,7244.51120,0.5112
2459016.00234,7266.35156,0.3516
2459026.00260,7288.19188,0.1919
2459036.00281,7310.03216,0.0322
2459046.00296,7331.87237,0.8724
2459056.00305,7353.71251,0.7125
2459066.00307,7375.55258,0.5526
2459076.00303,7397.39257,0.3926
2459086.00293,7419.23250,0.2325
2459096.00276,7441.07237,0.0724
2459097.00274,7443.25635,0.2564
2459098.00272,7445.44034,0.4403
2459099.00270,7447.62432,0.6243
2459100.00268,7449.80830,0.8083
2459101.00266,7451.99228,0.9923
2459102.00263,7454.17627,0.1763
2459103.00261,7456.36025,0.3602
2459104.00259,7458.54423,0.5442
2459105.00256,7460.72821,0.7282
2459106.00254,7462.91219,0.9122
2459107.00251,7465.09617,0.0962
2459108.00249,7467.28015,0.2801
2459109.00246,7469.46413,0.4641
2459110.00243,7471.64811,0.6481
2459111.00241,7473.83209,0.8321
2459112.00238,7476.01606,0.0161
2459113.00235,7478.20004,0.2000
2459114.00232,7480.38402,0.3840
2459115.00229,7482.56800,0.5680
2459116.00226,7484.75198,0.7520
2459117.00223,7486.93596,0.9360
2459118.00220,7489.11993,0.1199
2459119.00217,7491.30391,0.3039
2459120.00214,7493.48789,0.4879
2459121.00211,7495.67187,0.6719
2459122.00208,7497.85584,0.8558
2459123.00204,7500.03982,0.0398
2459124.00201,7502.22380,0.2238
2459125.00198,7504.40778,0.4078
2459126.00194,7506.59175,0.5918
2459127.00191,7508.77573,0.7757
2459128.00188,7510.95971,0.9597
2459129.00184,7513.14369,0.1437
2459130.00181,7515.32767,0.3277
2459131.00177,7517.51164,0.5116
2459132.00174,7519.69562,0.6956
2459133.00170,7521.87960,0.8796
2459134.00166,7524.06358,0.0636
2459135.00163,7526.24756,0.2476
2459136.00159,7528.43154,0.4315
2459137.00155,7530.61552,0.6155
2459138.00152,7532.79950,0.7995
2459139.00148,7534.98348,0.9835
2459140.00144,7537.16746,0.1675
2459141.00140,7539.35144,0.3514
2459142.00137,7541.53543,0.5354
2459143.00133,7543.71941,0.7194
2459144.00129,7545.90339,0.9034
2459145.00125,7548.08738,0.0874
